Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,4438,0,3,17.21761076555933,2.025708992732689,635.8163339900784,18771.0,152.91245181233782,0.0,3,4,4,4,8,44,310,410,600,640,640
GET,GET /appointments/{id},2115,0,3,14.784712847360755,1.4715409779455513,630.6047920079436,371.0,72.87287868028267,0.0,3,3,3,3,5,30,280,440,570,630,630
GET,GET /auth/me,1291,0,2,13.045128451420952,1.3305830070748925,595.8391669846606,175.26258714175057,44.48174296749169,0.0,2,3,3,3,4,17,280,490,580,600,600
POST,POST /appointments,796,3,4,13.038766596750905,2.5527919933665544,594.293000001926,386.786432160804,27.426388382744683,0.10336578536210307,4,4,5,5,8,23,170,360,590,590,590
POST,POST /auth/login,100,0,520,472.5689304701518,260.0647499784827,765.5152920051478,774.0,3.445526178736769,0.0,520,540,550,550,610,740,770,770,770,770,770
,Aggregated,8740,3,3,20.841926354523302,1.3305830070748925,765.5152920051478,9691.293935926773,301.1389880215936,0.10336578536210307,3,3,4,4,8,57,390,520,640,770,770
