Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,9139,218,30,244.81328613433263,1.8682919908314943,10700.619500014,18323.74100010942,313.6931710876637,7.482778345235878,30,74,120,150,300,1100,3700,5000,7600,11000,11000
GET,GET /appointments/{id},4025,73,23,123.45995257727176,1.508249988546595,8193.125499994494,364.6521739130435,138.15680201639637,2.505701005514766,23,60,92,120,230,330,800,2100,6400,8200,8200
GET,GET /auth/me,2604,57,20,98.07479645433773,1.2392499775160104,6317.777041986119,171.80145929339477,89.38144408712947,1.956506264580023,21,53,82,110,200,290,550,1600,5800,6300,6300
POST,POST /appointments,1536,37,32,133.5717397040336,2.518583001801744,7961.070082994411,379.3352864583333,52.72269512973536,1.2700128384115938,32,90,130,150,270,380,1000,1800,7500,8000,8000
POST,POST /auth/login,400,23,4600,4706.430086216424,908.6395409831312,12385.272374987835,730.7025,13.729868523368582,0.7894674400936935,4600,6000,6800,7100,8200,8600,9600,11000,12000,12000,12000
,Aggregated,17704,408,29,286.79394078989395,1.2392499775160104,12385.272374987835,9616.510675553547,607.6839808442935,14.004465893835954,29,73,120,150,300,1300,4500,6300,9200,11000,12000
