Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,7882,21,3,35.568298828553026,1.9674169889185578,3027.949000010267,18721.044404973356,271.4823228441644,0.723309918767756,3,4,4,5,23,130,500,900,2100,3000,3000
GET,GET /appointments/{id},3682,5,3,20.827299820528342,1.3883750070817769,3443.821916007437,370.52471482889734,126.8203390906132,0.17221664732565617,3,3,4,4,11,44,280,540,1500,3400,3400
GET,GET /auth/me,2217,6,2,19.379508784673032,1.2912919919472188,2253.8266670017038,174.68470906630583,76.36086142419595,0.2066599767907874,2,3,3,4,12,45,290,490,1400,2300,2300
POST,POST /appointments,1512,9,4,34.21454858608072,2.4678329937160015,1820.707166014472,385.875,52.07831415127843,0.3099899651861811,4,5,5,6,20,92,470,960,1800,1800,1800
POST,POST /auth/login,200,7,1200,1325.6312091798463,471.8160830088891,3671.780208009295,747.645,6.888665893026247,0.24110330625591864,1200,1500,1600,1600,2100,2800,3300,3400,3700,3700,3700
,Aggregated,15493,48,3,46.269828927876056,1.2912919919472188,3671.780208009295,9684.618343768154,533.6305034032782,1.6532798143262992,3,4,4,5,23,170,820,1300,2700,3400,3700
