Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,4375,0,3,15.10320255536187,1.8297919887118042,667.2069170163013,18770.733257142856,150.73354963024235,0.0,3,4,4,5,10,40,240,350,560,670,670
GET,GET /appointments/{id},2154,0,3,12.007623916105869,1.301209005760029,651.9848339958116,371.0,74.21258649223817,0.0,3,3,4,4,7,28,230,290,500,650,650
GET,GET /auth/me,1235,0,2,10.017382052136954,1.2180829944554716,458.59254198148847,175.16437246963562,42.54992772419413,0.0,2,3,3,4,5,20,180,290,410,460,460
POST,POST /appointments,841,0,4,16.125125339478707,2.3010419972706586,616.0985000024084,388.0,28.97529491177916,0.0,4,5,6,6,10,30,270,410,620,620,620
POST,POST /auth/login,100,0,470,488.61927575140726,251.8513749819249,794.5383750193287,774.0,3.4453382772626826,0.0,480,580,630,660,710,780,790,790,790,790,790
,Aggregated,8705,0,3,19.153998611721043,1.2180829944554716,794.5383750193287,9596.91303848363,299.9166970357165,0.0,3,4,4,5,10,55,310,440,710,790,790
