Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,1102,0,5,5.727522725971693,2.2077499888837337,48.55183299514465,18721.580762250454,37.95197111273343,0.0,5,5,6,7,8,11,16,23,42,49,49
GET,GET /appointments/{id},571,0,4,4.5404311921121305,1.6830000095069408,49.97437499696389,371.0,19.664769061135015,0.0,4,4,5,5,7,8,12,24,50,50,50
GET,GET /auth/me,377,0,3,3.9293981942043095,1.2759160017594695,41.81787499692291,175.18567639257296,12.983569064882488,0.0,3,4,4,4,6,7,9,20,42,42,42
POST,POST /appointments,211,1,6,7.173993875646646,3.1262080010492355,53.01149998558685,386.4739336492891,7.266665975305584,0.03443917523841509,6,7,7,8,10,13,25,29,53,53,53
POST,POST /auth/login,25,0,240,238.2861983566545,222.8992919845041,249.13612499949522,774.0,0.8609793809603772,0.0,240,240,240,240,250,250,250,250,250,250,250
,Aggregated,2286,1,4,7.811271671307813,1.2759160017594695,249.13612499949522,9190.710411198601,78.7279545950169,0.03443917523841509,4,5,6,6,8,11,25,230,250,250,250
