Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,2225,0,4,8.500933702001767,1.9528339907992631,463.2160839973949,18764.531235955055,76.65685990953509,0.0,4,5,5,6,8,18,43,92,430,460,460
GET,GET /appointments/{id},1138,0,3,8.340909005035744,1.5407080063596368,479.19595800340176,371.0,39.20696924811278,0.0,3,4,4,5,6,10,28,210,460,480,480
GET,GET /auth/me,644,0,3,7.232085793526403,1.469875016482547,401.0909159842413,175.1195652173913,22.187423722130607,0.0,3,3,4,4,6,12,37,120,400,400,400
POST,POST /appointments,431,0,5,9.412583942025934,2.445040998281911,363.7532500142697,388.0,14.84903668359983,0.0,5,6,6,7,9,15,37,180,360,360,360
POST,POST /auth/login,50,0,320,344.2137725185603,229.97154100448824,535.8455419773236,774.0,1.722626065382811,0.0,330,360,380,460,480,500,540,540,540,540,540
,Aggregated,4488,0,4,12.10595086690214,1.469875016482547,535.8455419773236,9467.911096256685,154.62291562876112,0.0,4,5,5,6,8,20,170,320,480,540,540
