Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,7630,0,6,58.64033720876486,1.8024589808192104,2457.6474579807837,18771.0,263.04640560281206,0.0,6,11,22,31,64,120,1100,1200,1700,2500,2500
GET,GET /appointments/{id},3698,0,5,40.291513891972116,1.3718339905608445,1601.1000410071574,371.0,127.48959474694614,0.0,5,9,19,28,56,88,800,1100,1300,1600,1600
GET,GET /auth/me,2316,0,4,32.880838289010434,1.1827080161310732,1454.1728339972906,175.2098445595855,79.8447543087959,0.0,4,8,17,24,47,71,190,990,1300,1500,1500
POST,POST /appointments,1478,2,8,42.39577197592094,2.3444170074071735,1432.408041000599,387.5642760487145,50.954467559758356,0.06895056503350251,8,14,29,37,70,110,230,1200,1400,1400,1400
POST,POST /auth/login,200,0,1200,1182.6281741500134,263.2751250057481,2724.5851249899715,774.0,6.895056503350251,0.0,1200,1400,1500,1600,1800,1900,2000,2700,2700,2700,2700
,Aggregated,15322,2,6,63.422686239599976,1.1827080161310732,2724.5851249899715,9511.036026628377,528.2302787216627,0.06895056503350251,6,11,23,31,65,130,1100,1300,1900,2700,2700
