Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,460,0,7,8.275870210238043,2.630375005537644,145.7834170141723,18653.454347826086,15.837115721636382,0.0,7,8,8,9,11,14,21,34,150,150,150
GET,GET /appointments/{id},210,0,6,5.718148818483487,1.9979579956270754,19.71991700702347,371.0,7.229987612051391,0.0,6,6,7,7,9,10,11,12,20,20,20
GET,GET /auth/me,154,0,5,5.316429162003378,2.1068330097477883,12.919000000692904,174.75324675324674,5.301990915504353,0.0,5,6,7,7,8,9,10,12,13,13,13
POST,POST /appointments,94,0,9,9.20468173423247,3.922417003195733,47.010083013447,388.0,3.236280169203956,0.0,9,9,10,11,13,15,17,47,47,47,47
POST,POST /auth/login,10,0,230,237.73979179677553,210.8797919936478,266.86883400543593,774.0,0.3442851243833996,0.0,230,230,260,260,270,270,270,270,270,270,270
,Aggregated,928,0,6,9.77271512987625,1.9979579956270754,266.86883400543593,9406.921336206897,31.949659542779482,0.0,6,7,8,9,11,13,21,210,270,270,270
