Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,12,0,4800,4166.0143679158255,2432.443666999461,5303.701541008195,18382.0,0.4281192587391352,0.0,4800,4800,4800,4800,5100,5300,5300,5300,5300,5300,5300
GET,GET /auth/me,1,0,2236.063166987151,2236.063166987151,2236.063166987151,2236.063166987151,175.0,0.03567660489492794,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
POST,POST /auth/login,234,121,7800,11914.85073951679,2669.030749995727,28012.188374996185,373.7692307692308,8.348325545413136,4.31686919228628,7800,11000,15000,20000,23000,26000,28000,28000,28000,28000,28000
,Aggregated,247,121,7800,11499.20367865954,2236.063166987151,28012.188374996185,1247.8582995951417,8.8121214090472,4.31686919228628,7800,11000,15000,19000,23000,26000,28000,28000,28000,28000,28000
