Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,1054,0,5,28.23270854534205,2.7099169965367764,1363.895374990534,17136.388045540796,36.26713943058592,0.0,5,7,8,8,11,16,570,640,1300,1400,1400
GET,GET /appointments/{id},519,0,4,20.560136400338134,1.8744170083664358,1401.6886659956072,371.0,17.85829730974772,0.0,4,5,6,7,9,12,350,550,1400,1400,1400
GET,GET /auth/me,311,0,4,15.767997038761045,1.6871670086402446,1463.2270410074852,175.5369774919614,10.701214765571368,0.0,4,5,5,5,7,9,26,280,1500,1500,1500
POST,POST /appointments,194,0,7,32.84961768076755,2.85820898716338,1527.0192500029225,388.0,6.675355834472172,0.0,7,8,9,9,12,15,810,980,1500,1500,1500
POST,POST /auth/login,25,0,1100,1050.9921601216774,394.4604170101229,1776.0719590005465,774.0,0.8602262673288882,0.0,1100,1200,1200,1300,1400,1800,1800,1800,1800,1800,1800
,Aggregated,2103,0,5,37.0801058063393,1.6871670086402446,1776.0719590005465,8751.077508321445,72.36223360770607,0.0,5,6,7,8,10,24,700,1000,1500,1800,1800
