Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,64,0,9700,8916.389465469365,1000.2502920106053,22325.552333000815,18521.796875,2.2141138073101767,0.0,9700,11000,12000,13000,15000,16000,20000,22000,22000,22000,22000
GET,GET /appointments/{id},2,0,2900,3290.1081454911036,2886.5127499739174,3693.70354100829,371.0,0.06919105647844302,0.0,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
GET,GET /auth/me,3,0,9100,7934.711680340115,3478.4331250120886,11236.768208007561,174.33333333333334,0.10378658471766453,0.0,9100,9100,11000,11000,11000,11000,11000,11000,11000,11000,11000
POST,POST /appointments,1,0,13785.515625000698,13785.515625000698,13785.515625000698,13785.515625000698,388.0,0.03459552823922151,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
POST,POST /auth/login,147,0,12000,13331.321816039897,972.7638330077752,27894.99737499864,774.0,5.085542651165562,0.0,12000,16000,19000,21000,23000,25000,26000,27000,28000,28000,28000
,Aggregated,217,0,11000,11864.1617497922,972.7638330077752,27894.99737499864,5994.589861751152,7.507229627911068,0.0,11000,15000,16000,19000,22000,24000,26000,26000,28000,28000,28000
