Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,428,0,8,13.011426631433054,1.9627500150818378,569.0175829804502,16754.198598130843,14.744737692298985,0.0,8,9,10,10,12,14,40,180,570,570,570
GET,GET /appointments/{id},214,0,7,11.68944974683952,2.8647500148508698,446.6072090144735,371.0,7.3723688461494925,0.0,7,7,8,9,11,12,42,180,450,450,450
GET,GET /auth/me,144,0,6,10.432313049629252,2.2964579984545708,636.2898749939632,175.60416666666666,4.960846326380967,0.0,6,6,7,7,9,10,12,15,640,640,640
POST,POST /appointments,92,0,10,14.542393564150426,4.014250007458031,238.41929199988954,388.0,3.1694295974100624,0.0,10,11,12,13,15,19,150,240,240,240,240
POST,POST /auth/login,10,0,600,566.6553997929441,217.57316699950024,627.115541981766,774.0,0.3445032171097894,0.0,600,600,620,630,630,630,630,630,630,630,630
,Aggregated,888,0,8,18.667950595782543,1.9627500150818378,636.2898749939632,8242.02027027027,30.591885679349296,0.0,8,9,9,10,12,16,220,590,640,640,640
