Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,1642,0,4,107.65378983801156,2.23333400208503,6131.355167017318,17475.35992691839,56.52347526466524,0.0,4,5,5,6,9,90,2500,3900,5900,6100,6100
GET,GET /appointments/{id},818,0,3,33.083460996613994,1.6817089926917106,5130.306832987117,371.0,28.158466971069526,0.0,3,4,4,5,7,26,140,180,5100,5100,5100
GET,GET /auth/me,464,0,3,40.29307404480591,1.4270420069806278,4552.441040985286,175.31896551724137,15.972528942024768,0.0,3,4,4,5,6,17,130,980,4600,4600,4600
POST,POST /appointments,297,0,5,35.41809680514188,2.7589589881245047,4404.799000010826,388.0,10.223795465046026,0.0,5,6,7,7,9,17,75,120,4400,4400,4400
POST,POST /auth/login,50,0,3200,3542.0662475423887,1323.1150420033373,6599.565750017064,774.0,1.7211776877181861,0.0,3200,4500,5200,5600,6200,6600,6600,6600,6600,6600,6600
,Aggregated,3271,0,4,125.3892593990467,1.4270420069806278,6599.565750017064,8937.11494955671,112.59944433052374,0.0,4,5,5,6,9,100,3000,4200,6500,6600,6600
