Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /appointments,1707,1,3,434.4372396084665,1.743834000080824,15134.684541990282,18328.649091974225,58.70880465333207,0.03439297284905218,3,4,4,5,27,3200,8400,9100,15000,15000,15000
GET,GET /appointments/{id},838,0,3,119.8327498528748,1.2902499875053763,8753.369292011485,371.0,28.821311247505726,0.0,3,3,4,4,11,120,1500,4400,8800,8800,8800
GET,GET /auth/me,455,0,2,58.54919751419092,1.1840829974971712,6783.039625006495,175.0021978021978,15.648802646318742,0.0,2,3,3,4,7,59,410,1800,6800,6800,6800
POST,POST /appointments,309,0,4,151.30753914221313,2.244584000436589,9729.067042004317,388.0,10.627428610357123,0.0,4,5,6,7,16,140,1900,6500,9700,9700,9700
POST,POST /auth/login,100,0,7700,8617.667864609102,995.277417008765,17537.435499980347,774.0,3.439297284905218,0.0,7800,11000,13000,14000,15000,16000,17000,18000,18000,18000,18000
,Aggregated,3409,1,3,521.315609654788,1.1840829974971712,17537.435499980347,9350.196538574362,117.24564444241888,0.03439297284905218,3,4,4,5,76,4800,8700,12000,16000,18000,18000
